source_id,title,speaker,institution,year,talk_type,domain_family,statistical_subdomain,source_url,expected_cache_file,rights_note,status
SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,2023,first PhD committee,research communication,doctoral update,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,public PDF; metadata lessons only,downloaded
SRC-002,Qualifying Exam Presentation guidance,MIT MechE Communication Lab,MIT,2026,qualifying exam guidance,research communication,qualifying exam,https://mitcommlab.mit.edu/meche/commkit/qualifying-exam-presentation/,mit_qualifying_exam_presentation.html,CC BY-NC 4.0 page unless otherwise noted,downloaded
SRC-003,Thesis Proposal guidance,MIT MechE Communication Lab,MIT,2026,proposal guidance,research communication,proposal,https://mitcommlab.mit.edu/meche/commkit/thesis-proposal/,mit_thesis_proposal.html,CC BY-NC 4.0 page unless otherwise noted,downloaded
SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,unknown,thesis proposal,statistics,statistical methods,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,public PDF; metadata lessons only,downloaded
SRC-005,Inter-Annotator Variability ISIC 2025,Kumar Abhishek and collaborators,SFU,2025,conference presentation,medical imaging,segmentation uncertainty,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-006,Disentangled PET Lesion Segmentation,Kumar Abhishek and collaborators,SFU,2025,conference presentation,medical imaging,lesion segmentation,https://www.sfu.ca/~kabhishe/data/files/ISBI2025_Presentation.pdf,sfu_isbi2025_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-007,StyleSeg ISIC 2024,Kumar Abhishek and collaborators,SFU,2024,conference presentation,medical imaging,segmentation uncertainty,https://www.sfu.ca/~kabhishe/data/files/ISIC2024a_Presentation.pdf,sfu_isic2024a_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-008,Lesion Elevation Prediction ISIC 2024,Kumar Abhishek and collaborators,SFU,2024,conference presentation,medical imaging,clinical prediction,https://www.sfu.ca/~kabhishe/data/files/ISIC2024b_Presentation.pdf,sfu_isic2024b_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-009,CIRCLe ISIC 2022,Kumar Abhishek and collaborators,SFU,2022,conference presentation,medical imaging,uncertainty,https://www.sfu.ca/~kabhishe/data/files/ISIC2022_Presentation.pdf,sfu_isic2022_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-010,D-LEMA ISIC 2021,Kumar Abhishek and collaborators,SFU,2021,conference presentation,medical imaging,annotation variability,https://www.sfu.ca/~kabhishe/data/files/ISIC2021_Presentation.pdf,sfu_isic2021_presentation.pdf,public PDF; metadata lessons only,downloaded
SRC-011,Outline of ML Challenges in RISE,Joseph E. Gonzalez,UC Berkeley,2017,academic talk,statistics,ML systems,https://people.eecs.berkeley.edu/~jegonzal/lectures,gonzalez_outline_ml_challenges_rise.pptx,archive permits reuse with attribution; metadata lessons only,downloaded
SRC-012,Deep Residual Learning CVPR 2016,Kaiming He,MIT hosted,2016,conference presentation,research communication,deep learning,https://people.csail.mit.edu/kaiming/cvpr16resnet/cvpr2016_deep_residual_learning_kaiminghe.pdf,kaiming_cvpr2016_resnet.pdf,public PDF; metadata lessons only,downloaded
SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,2017,academic talk,statistics,Bayesian workflow,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_bayesian_workflow.pdf,public PDF; metadata lessons only,downloaded
SRC-014,Concentration of Measure,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,statistical theory,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Concentration-of-Measure.pdf,cmu_statml_Concentration-of-Measure.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-015,GraphicalModels,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,graphical models,https://www.stat.cmu.edu/~ryantibs/statml/lectures/GraphicalModels.pdf,cmu_statml_GraphicalModels.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-016,Lee Sun Sun Taylor,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,selective inference,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Lee-Sun-Sun-Taylor.pdf,cmu_statml_Lee-Sun-Sun-Taylor.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-017,Lei Robins Wasserman,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,semiparametric inference,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Lei-Robins-Wasserman.pdf,cmu_statml_Lei-Robins-Wasserman.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-018,Lei Wasserman,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,conformal prediction,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Lei-Wasserman.pdf,cmu_statml_Lei-Wasserman.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-019,LinearRegression,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,linear models,https://www.stat.cmu.edu/~ryantibs/statml/lectures/LinearRegression.pdf,cmu_statml_LinearRegression.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-020,LogisticConformal,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,conformal prediction,https://www.stat.cmu.edu/~ryantibs/statml/lectures/LogisticConformal.pdf,cmu_statml_LogisticConformal.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-021,RKHSnotes,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,kernel methods,https://www.stat.cmu.edu/~ryantibs/statml/lectures/RKHSnotes.pdf,cmu_statml_RKHSnotes.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-022,Tibshirani Taylor Lockhart Tibshirani,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,post-selection inference,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Tibshirani-Taylor-Lockhart-Tibshirani.pdf,cmu_statml_Tibshirani-Taylor-Lockhart-Tibshirani.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-023,TwoSample,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,two-sample testing,https://www.stat.cmu.edu/~ryantibs/statml/lectures/TwoSample.pdf,cmu_statml_TwoSample.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-024,clustering,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,unsupervised learning,https://www.stat.cmu.edu/~ryantibs/statml/lectures/clustering.pdf,cmu_statml_clustering.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-025,densityestimation,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,density estimation,https://www.stat.cmu.edu/~ryantibs/statml/lectures/densityestimation.pdf,cmu_statml_densityestimation.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-026,linearclassification,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,classification,https://www.stat.cmu.edu/~ryantibs/statml/lectures/linearclassification.pdf,cmu_statml_linearclassification.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-027,minimax,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,minimax theory,https://www.stat.cmu.edu/~ryantibs/statml/lectures/minimax.pdf,cmu_statml_minimax.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-028,nonpar,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,nonparametric statistics,https://www.stat.cmu.edu/~ryantibs/statml/lectures/nonpar.pdf,cmu_statml_nonpar.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-029,sparsity,Ryan Tibshirani course archive,Carnegie Mellon University,2024,statistical learning lecture,statistics,high-dimensional sparsity,https://www.stat.cmu.edu/~ryantibs/statml/lectures/sparsity.pdf,cmu_statml_sparsity.pdf,public course PDF; metadata lessons only,candidate-reviewed
SRC-030,Bayes en medicine,Andrew Gelman,Columbia University,various,academic talk,biostatistics,Bayesian clinical research,https://sites.stat.columbia.edu/gelman/presentations/bayes_en_medecine.pdf,gelman_bayes_en_medicine.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-031,Hierarchical expectation propagation,Andrew Gelman,Columbia University,various,academic talk,biostatistics,Bayesian aggregation,https://sites.stat.columbia.edu/gelman/presentations/ep.pdf,gelman_hierarchical_expectation_propagation.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-032,Statistical crisis in science,Andrew Gelman,Columbia University,various,academic talk,statistics,statistical practice,https://sites.stat.columbia.edu/gelman/presentations/statistical_crisis_in_science.pdf,gelman_statistical_crisis_in_science.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-033,Generalizing from sample to population,Andrew Gelman,Columbia University,various,academic talk,statistics,survey inference,https://sites.stat.columbia.edu/gelman/presentations/generalizing_from_sample_to_population.pdf,gelman_generalizing_from_sample_to_population.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-034,Stan platform for Bayesian data analysis,Andrew Gelman,Columbia University,various,academic talk,statistics,MCMC computation,https://sites.stat.columbia.edu/gelman/presentations/stan.pdf,gelman_stan_platform_for_bayesian_data_analysis.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-035,Causality and statistical learning,Andrew Gelman,Columbia University,various,academic talk,statistics,causal inference,https://sites.stat.columbia.edu/gelman/presentations/causality_and_statistical_learning.pdf,gelman_causality_and_statistical_learning.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-036,Weakly informative priors,Andrew Gelman,Columbia University,various,academic talk,statistics,Bayesian priors,https://sites.stat.columbia.edu/gelman/presentations/weakly_informative_priors.pdf,gelman_weakly_informative_priors.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-037,Parameterization and Bayesian modeling,Andrew Gelman,Columbia University,various,academic talk,statistics,Bayesian modeling,https://www.stat.columbia.edu/~gelman/presentations/parameterization.pdf,gelman_parameterization_and_bayesian_modeling.pdf,public PDF if available; metadata lessons only,candidate-reviewed
SRC-038,Bin Yu Le Cam Lecture Slides,Bin Yu,UC Berkeley,2026,candidate research talk archive,statistics,veridical data science,https://binyu.stat.berkeley.edu/,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-039,Bin Yu ICSDS25 Plenary Talk Slides,Bin Yu,UC Berkeley,2025,candidate research talk archive,statistics,trustworthy AI,https://binyu.stat.berkeley.edu/,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-040,Bin Yu COPSS Distinguished Award Lecture,Bin Yu,UC Berkeley,2023,candidate research talk archive,statistics,PCS / veridical data science,https://binyu.stat.berkeley.edu/,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-041,High-Dimensional Statistics I,Martin Wainwright,Simons Institute / UC Berkeley,2013,candidate research talk archive,statistics,high-dimensional statistics,https://simons.berkeley.edu/node/18350,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-042,High-Dimensional Statistics II,Martin Wainwright,Simons Institute / UC Berkeley,2013,candidate research talk archive,statistics,high-dimensional statistics,https://simons.berkeley.edu/talks/high-dimensional-statistics-ii,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-043,STAT 991 Uncertainty Quantification Presentations,Edgar Dobriban and students,University of Pennsylvania,2022,candidate research talk archive,statistics,uncertainty quantification,https://github.com/dobriban/Topics-In-Modern-Statistical-Learning,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-044,Conformal Prediction Under Covariate Shift,Tibshirani group,UC Berkeley / Stanford,unknown,candidate research talk archive,statistics,conformal prediction,https://arxiv.org/abs/1904.06019,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-045,Doubly Robust Calibration,Dobriban and collaborators,University of Pennsylvania,unknown,candidate research talk archive,statistics,semiparametric conformal inference,https://github.com/dobriban/Topics-In-Modern-Statistical-Learning,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
SRC-046,Harvard Biostatistics Seminar archive,Harvard Biostatistics speakers,Harvard,various,candidate research talk archive,biostatistics,clinical research,https://www.hsph.harvard.edu/biostatistics/seminars/,,URL recorded for incremental review; commit metadata only after page-level review,candidate-reviewed
