reference_id,source_id,talk_title,speaker,institution,source_url,local_cache_file,actual_page_number,page_function,scientific_object,evidence_type,title_style,visual_dominance,approximate_figure_text_ratio,equation_usage,uncertainty_handling,negative_result_handling,why_this_specific_page_works,what_to_learn,what_not_to_copy,suitable_contexts,rights_note,verification_status,source_file_sha256,rendered_page_sha256,inspection_date,inspection_means,visible_page_title,short_page_specific_observation
RRL-001,SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,6,REAL_DATA_APPLICATION,growth plot plus motivating astronomy image,motivating data context,context title,figure plus short caption,0.65/0.35,none,growth curve shown without over-interpreting,none,A committee slide anchors motivation in a visible dataset and domain image rather than a generic background paragraph.,Open a doctoral update with evidence context before method detail.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,79c87119d88bf17444a637c43818c952e4f0928c26c0dc671803e5bc59dfa404,7ec4d89172893fea0ab6cb4c7b34a2d9e67d5abff3968584b0841b93fcd6aa7a,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,1 11 11ii,Growth plot and image are paired with the research context; useful as a motivation page.
RRL-002,SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,8,METHOD_DIAGRAM,graph neural network concept diagram,method mechanism,method title,diagram dominant,0.70/0.30,none,not explicit,none,The page reduces a technical method to one graph abstraction and one communication channel.,Use one mechanism diagram before algorithm details.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,79c87119d88bf17444a637c43818c952e4f0928c26c0dc671803e5bc59dfa404,d11b6d009e93a8058f5a8015dd12475cd7714f38893eafc41b338fb3f21bb860,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Graph,Simple objects and arrows explain satellites/debris graph representation.
RRL-003,SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,13,RESULT_FIGURE,training-step reward curve with baselines,quantitative plot,claim title,dominant plot,0.75/0.25,none,baseline comparison visible,none,The plot carries the result while the caption states what is being compared.,"For result pages, make the graph the main object and keep interpretation close to it.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,79c87119d88bf17444a637c43818c952e4f0928c26c0dc671803e5bc59dfa404,891a736d50289600be0acfbed61cdaeb3c5514cbe07007e4e62c83d314d54de2,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,-,Learning curve compares local/global information methods.
RRL-004,SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,14,SENSITIVITY_ANALYSIS,ranked sensitivity bars and interpretation note,sensitivity analysis,question title,bar plot plus note,0.65/0.35,none,sensitivity magnitude is visible,in-progress status explicit,The slide keeps an in-progress sensitivity study useful by showing ranked effects and uncertainty about interpretation.,Mark in-progress sensitivity honestly; do not hide it behind a polished conclusion.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,79c87119d88bf17444a637c43818c952e4f0928c26c0dc671803e5bc59dfa404,395deb58ba089e923d58b169cadf69167d0ad360f77cc75b308195494947f1ae,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Sensitivity,Sensitivity bars and yellow reviewer notes expose the unresolved issue.
RRL-005,SRC-001,Annotated 1st PhD Committee Meeting,Sydney Dolan,MIT AeroAstro Communication Lab,https://mitcommlab.mit.edu/aeroastro/wp-content/uploads/sites/11/2023/09/Annotated-1st-PhD-Committee-Final.pdf,mit_annotated_first_phd_committee.pdf,16,NEXT_EXPERIMENT,future work bullets tied to robustness and interpretability,planned evidence,planning title,text with highlighted decision note,0.25/0.75,none,uncertainty appears as future robustness checks,none,The future-work page separates next work from completed result and asks a committee-facing question.,"Use future-work pages to ask for decisions, not to claim completed evidence.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,79c87119d88bf17444a637c43818c952e4f0928c26c0dc671803e5bc59dfa404,72ee16356dca2a7ae9d06d3cce3b3b6bf5746975b7303545fa6e4eda923ecfe7,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Ongoing,Highlighted note asks how much uncertainty to present as future work.
RRL-006,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,5,STATISTICAL_MODEL,hybrid resource-bound analysis pipeline,model schematic,proposal claim,diagram dominant,0.70/0.30,light formula,not explicit,none,The proposal frames the core research idea as a merge of two analysis paths with a bound output.,"State the proposed model as a mechanism, not just a problem label.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,cabf6cd9a50f35b75fb4844e43d5b3b4163fac36e6582c539fad7d92aca1752f,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Proposal: Hybrid Resource Analysis,Two analysis paths combine into an overall cost bound.
RRL-007,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,18,BAYESIAN_MODEL,Bayesian data-driven analysis generative model,Bayesian model,method contribution,formula plus bullets,0.45/0.55,central,posterior distribution explicit,none,"The slide maps latent parameter, observations, and posterior samples into a program-analysis use case.","For Bayesian pages, show prior/likelihood/posterior roles and the object of inference.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,2037dc6a5306e14c51ee1fbe6ce50bd20f39d566407eaeb243e1d52b12c2a78c,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Contribution: Bayesian Data-Driven Analysis,Bayesian formulation is introduced with model components and posterior samples.
RRL-008,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,23,ASSUMPTION,hybrid analysis goal/challenge with posterior samples,assumption / challenge,challenge title,diagram and boxed questions,0.55/0.45,light formula,uncertainty about combination is explicit,none,The slide states what must be assumed or designed before the hybrid method can work.,"Put assumptions and interface questions in the main method flow, not hidden backup.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,9b1005d531b198321da106a0c91606b6c9f8954d8405c75299701fb697c61076,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Hybrid Analysis: Goal and Challenge,Hybrid challenge asks how constraints and posterior samples can be combined.
RRL-009,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,27,ESTIMATOR,hybrid AARA plus BayesPC algorithm flow,estimator pipeline,method title,algorithm diagram,0.70/0.30,light formula,posterior sample restriction shown,none,"The estimator page uses data objects, constraints, and optimization steps as the visual structure.","Show estimator inputs, restrictions, and outputs in one editable diagram.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,145ce2490212a091c0dc7a4341e8d39005052ac2bebfdc62d420c2a201c47712,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Hybrid AARA: AARA + BayesPC,AARA and BayesPC are connected through posterior samples and cost constraints.
RRL-010,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,28,SIMULATION,quicksort evaluation curves,simulation comparison,evaluation title,plot plus steps,0.65/0.35,none,curve comparison visible,none,The evaluation page names the example program and compares methods with plotted curves.,"Simulation pages need DGP/example, comparator, and performance curve together.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,e9cb37f5d054c38edf4dda5f9d8ec157b313a0cafa0b5dc46416adfa6cb024db,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Example Evaluation: Quicksort,Quicksort resource metrics compare Bayesian analysis and hybrid analysis.
